loopId	chrA	startA	endA	chrB	startB	endB	distance
loopId1879	chr2	136207430	136212430	chr2	136307430	136312430	100000
loopId1880	chr15	52182803	52187803	chr15	52217803	52222803	35000
loopId1881	chr21	36152702	36157702	chr21	36317702	36322702	165000
loopId1882	chr15	52097803	52107803	chr15	54577802	54587802	2479999
loopId1883	chr15	51732803	51737803	chr15	51772803	51777803	40000
loopId1884	chr2	136132430	136137430	chr2	136207430	136212430	75000
loopId1885	chr6	21149769	21159769	chr6	21429769	21439769	280000
loopId1886	chr15	51727803	51737803	chr15	52097803	52107803	370000
loopId1887	chr2	85827877	85832877	chr2	86037877	86042877	210000
loopId1888	chr2	85827877	85832877	chr2	86077877	86082877	250000
loopId1889	chr2	85727877	85732877	chr2	85807877	85812877	80000
loopId1890	chr2	85827877	85832877	chr2	85887877	85892877	60000
loopId1891	chr2	8484870	8489870	chr2	8679870	8684870	195000
loopId1892	chr2	8484870	8489870	chr2	8759870	8764870	275000
loopId1893	chr2	85887877	85892877	chr2	86077877	86082877	190000
loopId1894	chr2	8484870	8489870	chr2	8539870	8544870	55000
loopId1895	chr2	86232877	86242877	chr2	86372877	86382877	140000
loopId1896	chr2	8519870	8529870	chr2	8679870	8689870	160000
loopId1897	chr9	4760000	4770000	chr9	5580000	5590000	820000
loopId1898	chr9	4745000	4750000	chr9	4980000	4985000	235000
loopId1899	chr9	37370003	37375003	chr9	37405003	37410003	35000
loopId1900	chr9	3730000	3735000	chr9	4115000	4120000	385000
loopId1901	chr9	37910003	37920003	chr9	38060003	38070003	150000
loopId1902	chr9	37910003	37915003	chr9	38360003	38365003	450000
loopId1903	chr9	38105003	38110003	chr9	38360003	38365003	255000
loopId1904	chr9	38090003	38095003	chr9	38160003	38165003	70000
loopId1905	chr9	4740000	4750000	chr9	5590000	5600000	850000
loopId1906	chr9	4740000	4750000	chr9	5430000	5440000	690000
loopId1907	chr16	50681089	50686089	chr16	50741089	50746089	60000
loopId1908	chr16	50066089	50076089	chr16	50146089	50156089	80000
loopId1909	chr16	4844999	4849999	chr16	4954999	4959999	110000
loopId1910	chr16	48561089	48566089	chr16	48606089	48611089	45000
loopId1911	chr16	5154999	5159999	chr16	5204999	5209999	50000
loopId1912	chr16	5149999	5154999	chr16	5319999	5324999	170000
loopId1913	chr16	51406089	51411089	chr16	51561089	51566089	155000
loopId1914	chr16	51306089	51311089	chr16	51406089	51411089	100000
loopId1915	chr16	5239999	5244999	chr16	5374999	5379999	135000
loopId1916	chr16	5234999	5239999	chr16	5489999	5494999	255000
loopId1917	chr9	3470000	3475000	chr9	3730000	3735000	260000
loopId1918	chr4	87003848	87008848	chr4	87088848	87093848	85000
loopId1919	chr4	87018848	87023848	chr4	87073848	87078848	55000
loopId1920	chr4	83173847	83178847	chr4	83278847	83283847	105000
loopId1921	chr4	83218847	83223847	chr4	83278847	83283847	60000
loopId1922	chr4	83108847	83113847	chr4	83218847	83223847	110000
loopId1923	chr4	83108847	83113847	chr4	83278847	83283847	170000
loopId1924	chr4	86933848	86938848	chr4	87003848	87008848	70000
loopId1925	chr4	86933848	86938848	chr4	87088848	87093848	155000
loopId1926	chr4	83508847	83513847	chr4	83633847	83638847	125000
loopId1927	chr4	86493847	86498847	chr4	86888847	86893847	395000
loopId1928	chr6	53170202	53175202	chr6	53435202	53440202	265000
loopId1929	chr6	53165202	53175202	chr6	53285202	53295202	120000
loopId1930	chr6	5214767	5219767	chr6	5299767	5304767	85000
loopId1931	chr6	52285202	52290202	chr6	52660202	52665202	375000
loopId1932	chr6	52355202	52360202	chr6	52390202	52395202	35000
loopId1933	chr6	52295202	52305202	chr6	52385202	52395202	90000
loopId1934	chr6	52415202	52420202	chr6	52660202	52665202	245000
loopId1935	chr6	52415202	52420202	chr6	52575202	52580202	160000
loopId1936	chr6	52995202	53000202	chr6	53060202	53065202	65000
loopId1937	chr6	52420202	52425202	chr6	52495202	52500202	75000
loopId1938	chr19	5799989	5804989	chr19	5899989	5904989	100000
loopId1939	chr19	55653634	55658634	chr19	55808634	55813634	155000
loopId1940	chr19	54368393	54373393	chr19	54493779	54498779	125386
loopId1941	chr19	54353391	54358391	chr19	54388396	54393396	35005
loopId1942	chr19	54323728	54328728	chr19	54388396	54393396	64668
loopId1943	chr19	54276146	54286146	chr19	54618548	54628549	342402
loopId1944	chr19	55513633	55518633	chr19	55628634	55633634	115001
loopId1945	chr19	55298632	55303632	chr19	55383632	55388632	85000
loopId1946	chr19	54518817	54528783	chr19	54608533	54618548	89740
loopId1947	chr19	54478842	54483826	chr19	54613534	54618548	134707
loopId1948	chr12	14237066	14242066	chr12	14362066	14367066	125000
loopId1949	chr12	14237066	14242066	chr12	14447066	14452066	210000
loopId1950	chr12	130480455	130485455	chr12	130585455	130590455	105000
loopId1951	chr12	130765455	130775455	chr12	130815455	130825455	50000
loopId1952	chr12	130965455	130975455	chr12	131085455	131095455	120000
loopId1953	chr12	14107066	14117066	chr12	14167066	14177066	60000
loopId1954	chr1	212806658	212816658	chr1	212976658	212986658	170000
loopId1955	chr1	212821658	212826658	chr1	212856658	212861658	35000
loopId1956	chr1	2198561	2203561	chr1	2388561	2393561	190000
loopId1957	chr12	130475455	130485455	chr12	130565455	130575455	90000
loopId1958	chr4	153338848	153348848	chr4	153638848	153648848	300000
loopId1959	chr4	153343848	153348848	chr4	153573848	153578848	230000
loopId1960	chr4	152548848	152553848	chr4	152633848	152638848	85000
loopId1961	chr4	152638848	152643848	chr4	152733848	152738848	95000
loopId1962	chr4	152848848	152853848	chr4	153078848	153083848	230000
loopId1963	chr4	153078848	153083848	chr4	153123848	153128848	45000
loopId1964	chr4	151738848	151748848	chr4	152208848	152218848	470000
loopId1965	chr4	151743848	151748848	chr4	151878848	151883848	135000
loopId1966	chr4	152498848	152503848	chr4	152638848	152643848	140000
loopId1967	chr4	152498848	152503848	chr4	152733848	152738848	235000
loopId1968	chr11	128170105	128175105	chr11	128830105	128835105	660000
loopId1969	chr11	128285105	128290105	chr11	128830105	128835105	545000
loopId1970	chr11	128170105	128175105	chr11	128285105	128290105	115000
loopId1971	chr11	128170105	128175105	chr11	128625105	128630105	455000
loopId1972	chr11	125920105	125925105	chr11	126185105	126190105	265000
loopId1973	chr11	128165105	128170105	chr11	128520105	128525105	355000
loopId1974	chr11	124760104	124765104	chr11	124835104	124840104	75000
loopId1975	chr11	124955104	124960104	chr11	125070104	125075104	115000
loopId1976	chr11	124665104	124670104	chr11	124725104	124730104	60000
loopId1977	chr11	124670104	124675104	chr11	124760104	124765104	90000
loopId1978	chr13	27165863	27170863	chr13	27250863	27255863	85000
loopId1979	chr8	102882772	102887772	chr8	103032772	103037772	150000
loopId1980	chr8	10582490	10592490	chr8	10832490	10842490	250000
loopId1981	chr8	102532772	102537772	chr8	102582772	102587772	50000
loopId1982	chr8	102532772	102537772	chr8	102807772	102812772	275000
loopId1983	chr8	102652772	102657772	chr8	102807772	102812772	155000
loopId1984	chr8	102857772	102867772	chr8	103017772	103027772	160000
loopId1985	chr8	102127772	102132772	chr8	102192772	102197772	65000
loopId1986	chr8	102227772	102237772	chr8	102807772	102817772	580000
loopId1987	chr8	102287772	102292772	chr8	102532772	102537772	245000
loopId1988	chr8	102407772	102412772	chr8	102532772	102537772	125000
loopId1989	chr13	28320863	28325863	chr13	28635863	28640863	315000
loopId1990	chr1	221736658	221741658	chr1	222166658	222171658	430000
loopId1991	chr1	221741658	221746658	chr1	221836658	221841658	95000
loopId1992	chr1	221786658	221796658	chr1	222166658	222176658	380000
loopId1993	chr13	24595862	24600862	chr13	24945862	24950862	350000
loopId1994	chr6	87700282	87705282	chr6	87795282	87800282	95000
loopId1995	chr1	221836658	221841658	chr1	222166658	222171658	330000
loopId1996	chr1	221836658	221841658	chr1	222451658	222456658	615000
loopId1997	chr12	22097066	22107066	chr12	22437066	22447066	340000
loopId1998	chr1	222456658	222466658	chr1	222636658	222646658	180000
loopId1999	chr13	25845862	25850862	chr13	25900862	25905862	55000
loopId2000	chr14	97538663	97543663	chr14	97698663	97703663	160000
loopId2001	chr14	97633663	97638663	chr14	97703663	97708663	70000
loopId2002	chr14	97408663	97413663	chr14	97698663	97703663	290000
loopId2003	chr14	97538663	97543663	chr14	97623663	97628663	85000
loopId2004	chr15	99559795	99569795	chr15	99699795	99709795	140000
loopId2005	chr2	8309870	8314870	chr2	8679870	8684870	370000
loopId2006	chr14	97703663	97713663	chr14	99263663	99273663	1560000
loopId2007	chr1	50369328	50374328	chr1	50599328	50604328	230000
loopId2008	chr2	8229870	8234870	chr2	8404870	8409870	175000
loopId2009	chr2	8229870	8234870	chr2	8299870	8304870	70000
loopId2010	chr15	99799795	99809795	chr15	101739797	101749797	1940002
loopId2011	chr2	8309870	8314870	chr2	8404870	8409870	95000
loopId2012	chr2	7999869	8004870	chr2	8684870	8689870	685001
loopId2013	chr2	7999869	8004870	chr2	8539870	8544870	540001
loopId2014	chr2	7999869	8009870	chr2	8299870	8309870	300001
loopId2015	chr2	7999869	8004870	chr2	8759870	8764870	760001
loopId2016	chr6	137163863	137168863	chr6	137253863	137258863	90000
loopId2017	chr6	137098863	137103863	chr6	137258863	137263863	160000
loopId2018	chr6	137268863	137273863	chr6	137308863	137313863	40000
loopId2019	chr16	23183679	23188679	chr16	23333679	23338679	150000
loopId2020	chr6	137428863	137438863	chr6	137628863	137638863	200000
loopId2021	chr6	137338863	137343863	chr6	137638863	137643863	300000
loopId2022	chr17	38603747	38613747	chr17	38653747	38663747	50000
loopId2023	chr6	137703863	137708863	chr6	137798863	137803863	95000
loopId2024	chr6	137703863	137708863	chr6	137973863	137978863	270000
loopId2025	chr6	137703863	137708863	chr6	137938863	137943863	235000
loopId2026	chr16	23183679	23188679	chr16	23433679	23438679	250000
loopId2027	chr16	23288679	23293679	chr16	23433679	23438679	145000
loopId2028	chr17	40108747	40113747	chr17	40163747	40168747	55000
loopId2029	chr17	40193748	40198748	chr17	40288748	40293748	95000
loopId2030	chr15	63167801	63177801	chr15	63477801	63487801	310000
loopId2031	chr15	60792801	60797801	chr15	60897801	60902801	105000
loopId2032	chr15	63467801	63472801	chr15	63502801	63507801	35000
loopId2033	chr15	63287801	63292801	chr15	63397801	63402801	110000
loopId2034	chr15	60592801	60597801	chr15	60647801	60652801	55000
loopId2035	chr15	60582801	60587801	chr15	61052801	61057801	470000
loopId2036	chr15	60717801	60722801	chr15	60897801	60902801	180000
loopId2037	chr15	60647801	60652801	chr15	60897801	60902801	250000
loopId2038	chr15	63747801	63752801	chr15	63892801	63897801	145000
loopId2039	chr15	63502801	63507801	chr15	63547801	63552801	45000
loopId2040	chr21	29077679	29082679	chr21	29292679	29297679	215000
loopId2041	chr2	127642425	127652426	chr2	127692426	127702426	50001
loopId2042	chr21	25422688	25427688	chr21	25497688	25502688	75000
loopId2043	chr21	25422688	25427688	chr21	25457688	25462688	35000
loopId2044	chr21	25417688	25422688	chr21	25562688	25567688	145000
loopId2045	chr21	25187686	25197686	chr21	25387688	25397688	200002
loopId2046	chr21	25607688	25612688	chr21	25707688	25712688	100000
loopId2047	chr21	25507688	25512688	chr21	25557688	25562688	50000
loopId2048	chr21	25462688	25467688	chr21	25562688	25567688	100000
loopId2049	chr15	68387661	68392661	chr15	68522661	68527661	135000
loopId2050	chr6	11379767	11384767	chr6	11494767	11499767	115000
loopId2051	chr15	68787661	68792661	chr15	68822661	68827661	35000
loopId2052	chr13	45045865	45050865	chr13	45310865	45315865	265000
loopId2053	chr13	44765864	44775864	chr13	44865864	44875865	100000
loopId2054	chr13	44655864	44665864	chr13	44765864	44775864	110000
loopId2055	chr13	42405864	42410864	chr13	42545864	42550864	140000
loopId2056	chr13	46545865	46555865	chr13	46675865	46685865	130000
loopId2057	chr13	46490865	46495865	chr13	46540865	46545865	50000
loopId2058	chr13	45695865	45700865	chr13	46175865	46180865	480000
loopId2059	chr13	45615865	45625865	chr13	45715865	45725865	100000
loopId2060	chr2	138297430	138302430	chr2	138372430	138377430	75000
loopId2061	chr21	38167906	38172906	chr21	38348078	38353078	180172
loopId2062	chr1	34364399	34369399	chr1	34414399	34419399	50000
loopId2063	chr13	46550865	46555865	chr13	46720865	46725865	170000
loopId2064	chr2	137252430	137257430	chr2	137287430	137292430	35000
loopId2065	chr21	37257699	37262699	chr21	37367698	37372698	109999
loopId2066	chr21	36502702	36507702	chr21	36927700	36932700	424998
loopId2067	chr21	36537702	36542702	chr21	36582702	36587702	45000
loopId2068	chr15	68557661	68562661	chr15	68672661	68677661	115000
loopId2069	chr11	57812528	57822528	chr11	58502527	58512527	689999
loopId2070	chr1	158280210	158290210	chr1	159070210	159080210	790000
loopId2071	chr1	157370210	157375210	chr1	157490210	157495210	120000
loopId2072	chr12	64886220	64896220	chr12	65226220	65236220	340000
loopId2073	chr15	69057660	69062660	chr15	69262661	69267661	205001
loopId2074	chr12	6425834	6430834	chr12	6460834	6465834	35000
loopId2075	chr1	58564328	58574328	chr1	58644328	58654328	80000
loopId2076	chr11	58572527	58582527	chr11	59552527	59562527	980000
loopId2077	chr15	89886768	89896768	chr15	90086768	90096768	200000
loopId2078	chr1	158790210	158795210	chr1	159005210	159010210	215000
loopId2079	chr15	90001768	90006768	chr15	90071768	90076768	70000
loopId2080	chr15	90156768	90161768	chr15	90216768	90221768	60000
loopId2081	chr15	69057660	69062660	chr15	69222661	69227661	165001
loopId2082	chr15	90226768	90236768	chr15	90276768	90286768	50000
loopId2083	chr15	90656769	90661769	chr15	90691769	90696769	35000
loopId2084	chr11	3418770	3428770	chr11	71778954	71788954	68360184
loopId2085	chr11	34243453	34248453	chr11	34353453	34358453	110000
loopId2086	chr15	90661769	90666769	chr15	90881770	90886770	220001
loopId2087	chr11	32103454	32108454	chr11	32168454	32173454	65000
loopId2088	chr11	32048454	32053454	chr11	32173454	32178454	125000
loopId2089	chr11	32958454	32963454	chr11	33063454	33068454	105000
loopId2090	chr11	32808454	32818454	chr11	33058454	33068454	250000
loopId2091	chr11	33358454	33368454	chr11	33688454	33698454	330000
loopId2092	chr11	33158454	33163454	chr11	33323454	33328454	165000
loopId2093	chr11	34173453	34178453	chr11	34358453	34363453	185000
loopId2094	chr11	34173453	34178453	chr11	34243453	34248453	70000
loopId2095	chr12	53206216	53211216	chr12	53286216	53291216	80000
loopId2096	chr1	25028509	25033509	chr1	25203509	25208509	175000
loopId2097	chr11	59212527	59217527	chr11	59282527	59287527	70000
loopId2098	chr12	53061216	53066216	chr12	53101216	53106216	40000
loopId2099	chr12	52886216	52896216	chr12	52976216	52986216	90000
loopId2100	chr1	24963509	24968509	chr1	25028509	25033509	65000
loopId2101	chr1	24953509	24963509	chr1	25203509	25213509	250000
loopId2102	chr12	52171216	52176216	chr12	52206216	52211216	35000
loopId2103	chr11	60172527	60177527	chr11	60337527	60342527	165000
loopId2104	chr1	159935210	159940210	chr1	160005210	160010210	70000
loopId2105	chr1	25033509	25038509	chr1	25098509	25103509	65000
loopId2106	chr12	53206216	53216216	chr12	53256216	53266216	50000
loopId2107	chr3	112131153	112136153	chr3	112456153	112461153	325000
loopId2108	chr3	112136153	112141153	chr3	112516153	112521153	380000
loopId2109	chr3	106246153	106251153	chr3	106331153	106336153	85000
loopId2110	chr3	106251153	106261153	chr3	106601153	106611153	350000
loopId2111	chr3	106301153	106311153	chr3	106601153	106611153	300000
loopId2112	chr3	108071153	108081153	chr3	108121153	108131153	50000
loopId2113	chr3	108151153	108156153	chr3	108406153	108411153	255000
loopId2114	chr3	108291153	108301153	chr3	108381153	108391153	90000
loopId2115	chr3	109021153	109026153	chr3	109081153	109086153	60000
loopId2116	chr3	112111153	112121153	chr3	112291153	112301153	180000
loopId2117	chr3	46923510	46928510	chr3	46983510	46988510	60000
loopId2118	chr3	46708510	46718510	chr3	46888510	46898510	180000
loopId2119	chr3	46708510	46718510	chr3	46828510	46838510	120000
loopId2120	chr3	46488510	46498510	chr3	46548510	46558510	60000
loopId2121	chr3	46298509	46303509	chr3	46368509	46373509	70000
loopId2122	chr3	46093508	46098508	chr3	46368509	46373509	275001
loopId2123	chr3	46093508	46098508	chr3	46203509	46208509	110001
loopId2124	chr3	45938508	45943508	chr3	46078508	46083508	140000
loopId2125	chr3	47418510	47423510	chr3	47513510	47518510	95000
loopId2126	chr3	47418510	47423510	chr3	47473510	47478510	55000
loopId2127	chr16	57896096	57901096	chr16	58001096	58006096	105000
loopId2128	chr16	57601088	57606088	chr16	57646088	57651088	45000
loopId2129	chr16	56971088	56976088	chr16	57041088	57046088	70000
loopId2130	chr16	56866088	56871088	chr16	57041088	57046088	175000
loopId2131	chr16	57301088	57306088	chr16	57336088	57341088	35000
loopId2132	chr16	57241088	57246088	chr16	57296088	57301088	55000
loopId2133	chr16	57301088	57306088	chr16	57416088	57421088	115000
loopId2134	chr16	57301088	57306088	chr16	57376088	57381088	75000
loopId2135	chr16	57586088	57596088	chr16	57716088	57726088	130000
loopId2136	chr16	57376088	57381088	chr16	57416088	57421088	40000
loopId2137	chr8	70937765	70947765	chr8	71047765	71057765	110000
loopId2138	chr8	70397765	70402765	chr8	70517765	70522765	120000
loopId2139	chr8	70147765	70152765	chr8	70667765	70672765	520000
loopId2140	chr8	70147765	70152765	chr8	70532765	70537765	385000
loopId2141	chr8	70147765	70152765	chr8	70402765	70407765	255000
loopId2142	chr8	69937765	69947765	chr8	70077765	70087765	140000
loopId2143	chr8	69832765	69837765	chr8	69932765	69937765	100000
loopId2144	chr8	69817765	69822765	chr8	71837765	71842765	2020000
loopId2145	chr8	71827765	71832765	chr8	72002765	72007765	175000
loopId2146	chr8	71727765	71737765	chr8	71997765	72007765	270000
loopId2147	chr5	137199311	137204311	chr5	137234311	137239311	35000
loopId2148	chr22	25564033	25569033	chr22	25774033	25779033	210000
loopId2149	chr22	25564033	25574033	chr22	25704033	25714033	140000
loopId2150	chr2	224935283	224940283	chr2	224980283	224985283	45000
loopId2151	chr2	225000283	225005283	chr2	225035283	225040283	35000
loopId2152	chr22	25264033	25274033	chr22	25524033	25534033	260000
loopId2153	chr2	224885283	224895283	chr2	224995283	225005283	110000
loopId2154	chr2	224520283	224525283	chr2	224575283	224580283	55000
loopId2155	chr22	25084033	25089033	chr22	25169033	25174033	85000
loopId2156	chr22	24424032	24434032	chr22	24504032	24514032	80000
loopId2157	chr22	24949033	24954033	chr22	25054033	25059033	105000
loopId2158	chr16	10511143	10516143	chr16	10736143	10741143	225000
loopId2159	chr16	10311143	10316143	chr16	10736143	10741143	425000
loopId2160	chr5	119314305	119319305	chr5	119409305	119414305	95000
loopId2161	chr5	119359305	119364305	chr5	119394305	119399305	35000
loopId2162	chr16	10256143	10261143	chr16	10506143	10511143	250000
loopId2163	chr16	10256143	10261143	chr16	10366143	10371143	110000
loopId2164	chr5	123419306	123424306	chr5	123609306	123614306	190000
loopId2165	chr16	10256143	10261143	chr16	10736143	10741143	480000
loopId2166	chr5	124644307	124654307	chr5	124904307	124914307	260000
loopId2167	chr5	124909307	124914307	chr5	124999307	125004307	90000
loopId2168	chr16	10776143	10781143	chr16	10811143	10816143	35000
loopId2169	chr16	10736143	10741143	chr16	10876143	10881143	140000
loopId2170	chr5	136064311	136074311	chr5	136164311	136174311	100000
loopId2171	chr2	147042432	147052432	chr2	147902431	147912431	859999
loopId2172	chr10	99845243	99850243	chr10	100045243	100050243	200000
loopId2173	chr2	146732432	146742432	chr2	146892432	146902432	160000
loopId2174	chr2	146732432	146737432	chr2	146807432	146812432	75000
loopId2175	chr1	219421658	219426658	chr1	219461658	219466658	40000
loopId2176	chr12	19757066	19762066	chr12	19827066	19832066	70000
loopId2177	chr12	15677066	15687066	chr12	15767066	15777066	90000
loopId2178	chr12	15787066	15797066	chr12	15837066	15847066	50000
loopId2179	chr12	15587066	15597066	chr12	15847066	15857066	260000
loopId2180	chr1	21253507	21263507	chr1	21363507	21373507	110000
loopId2181	chr12	1640834	1650834	chr12	1790834	1800834	150000
loopId2182	chr12	1795834	1800834	chr12	1930834	1935834	135000
loopId2183	chr12	15927066	15937066	chr12	15977066	15987066	50000
loopId2184	chr1	21293507	21298507	chr1	21333507	21338507	40000
loopId2185	chr4	159048848	159058848	chr4	159168848	159178848	120000
loopId2186	chr4	159103848	159108848	chr4	159168848	159173848	65000
loopId2187	chr4	15803377	15808377	chr4	15953377	15958377	150000
loopId2188	chr4	15888377	15893377	chr4	15953377	15958377	65000
loopId2189	chr4	155968848	155978848	chr4	156658848	156668848	690000
loopId2190	chr4	15798377	15808377	chr4	15868377	15878377	70000
loopId2191	chr4	158853848	158858848	chr4	159203848	159208848	350000
loopId2192	chr4	158858848	158868848	chr4	159018848	159028848	160000
loopId2193	chr4	158718848	158723848	chr4	159198848	159203848	480000
loopId2194	chr4	158853848	158858848	chr4	159173848	159178848	320000
loopId2195	chr3	191132211	191142211	chr3	191232211	191242211	100000
loopId2196	chr3	191232211	191237211	chr3	191352211	191357211	120000
loopId2197	chr3	191247211	191252211	chr3	191292211	191297211	45000
loopId2198	chr3	192817211	192822211	chr3	193037211	193042211	220000
loopId2199	chr3	192847211	192852211	chr3	192887211	192892211	40000
loopId2200	chr3	192912211	192917211	chr3	193037211	193042211	125000
loopId2201	chr3	193782211	193792211	chr3	194302211	194312211	520000
loopId2202	chr3	194132211	194142211	chr3	194302211	194312211	170000
loopId2203	chr3	194484271	194489271	chr3	194584271	194589271	100000
loopId2204	chr3	194669271	194674271	chr3	195249271	195254271	580000
loopId2205	chr8	114297771	114302771	chr8	114452771	114457771	155000
loopId2206	chr8	11767491	11772491	chr8	11897491	11902491	130000
loopId2207	chr8	11242491	11247491	chr8	11277491	11282491	35000
loopId2208	chr8	110847771	110852771	chr8	110912771	110917771	65000
loopId2209	chr8	109557771	109567771	chr8	109637771	109647771	80000
loopId2210	chr8	109727771	109737771	chr8	110027771	110037771	300000
loopId2211	chr8	11482491	11492491	chr8	11742491	11752491	260000
loopId2212	chr8	11492491	11497491	chr8	11532491	11537491	40000
loopId2213	chr8	11417491	11422491	chr8	11457491	11462491	40000
loopId2214	chr8	11417491	11422491	chr8	11537491	11542491	120000
loopId2215	chrX	9871960	9876960	chrX	10116960	10121960	245000
loopId2216	chrX	9881960	9891960	chrX	9991960	10001960	110000
loopId2217	chrX	9461960	9471960	chrX	9671960	9681960	210000
loopId2218	chrX	9601960	9606960	chrX	9671960	9676960	70000
loopId2219	chrX	9996960	10001960	chrX	10116960	10121960	120000
loopId2220	chrX	9896960	9901960	chrX	9941960	9946960	45000
loopId2221	chrX	9941960	9946960	chrX	9991960	9996960	50000
loopId2222	chr17	38423753	38433757	chr17	38663747	38673747	239992
loopId2223	chr17	38483759	38488759	chr17	38663747	38668747	179988
loopId2224	chr17	38349117	38354117	chr17	38413757	38418757	64640
loopId2225	chr17	38349117	38354117	chr17	38483759	38488759	134642
loopId2226	chr17	37745009	37750010	chr17	37780029	37785029	35020
loopId2227	chr17	3736706	3746706	chr17	3786706	3796706	50000
loopId2228	chr17	36703555	36713554	chr17	48472638	48482638	11769084
loopId2229	chr17	3681706	3686706	chr17	3721706	3726706	40000
loopId2230	chr17	3761706	3766706	chr17	3796706	3801706	35000
loopId2231	chr17	38553764	38563764	chr17	38653747	38663747	99983
loopId2232	chr15	34237799	34242799	chr15	34327799	34332799	90000
loopId2233	chr15	34237799	34247799	chr15	34367799	34377799	130000
loopId2234	chr8	100947772	100957772	chr8	102237772	102247772	1290000
loopId2235	chr15	30687797	30697797	chr15	31707797	31717797	1020000
loopId2236	chr15	31197797	31202797	chr15	31487797	31492797	290000
loopId2237	chr15	31227797	31232797	chr15	31262797	31267797	35000
loopId2238	chr15	31227797	31237797	chr15	31317797	31327797	90000
loopId2239	chr15	31342797	31347797	chr15	31487797	31492797	145000
loopId2240	chr15	31437797	31442797	chr15	31487797	31492797	50000
loopId2241	chr15	31647797	31657797	chr15	31867797	31877797	220000
loopId2242	chr15	34097799	34102799	chr15	34207799	34212799	110000
loopId2243	chr16	27233679	27238679	chr16	27453679	27458679	220000
loopId2244	chr16	2679999	2684999	chr16	2714999	2719999	35000
loopId2245	chr16	25048679	25053679	chr16	25223679	25228679	175000
loopId2246	chr16	27173679	27178679	chr16	27448679	27453679	275000
loopId2247	chr16	28178679	28183679	chr16	28213679	28218679	35000
loopId2248	chr16	28868679	28878679	chr16	28918679	28928679	50000
loopId2249	chr16	27368679	27373679	chr16	27453679	27458679	85000
loopId2250	chr16	230001	235001	chr16	345000	350000	114999
loopId2251	chr6	13334768	13339768	chr6	13534768	13539768	200000
loopId2252	chr6	132668861	132673861	chr6	132758861	132763861	90000
loopId2253	chr6	132363861	132368861	chr6	132493861	132498861	130000
loopId2254	chr16	2864999	2869999	chr16	2919999	2924999	55000
loopId2255	chr6	13194768	13199768	chr6	13329768	13334768	135000
loopId2256	chr6	131058860	131068860	chr6	131108860	131118860	50000
loopId2257	chr6	130883860	130888860	chr6	131108860	131113860	225000
loopId2258	chr6	130513855	130518855	chr6	130618855	130623855	105000
loopId2259	chr1	31814399	31824399	chr1	31954399	31964399	140000
loopId2260	chr8	101322772	101327772	chr8	102192772	102197772	870000
loopId2261	chr13	22055861	22065861	chr13	22275861	22285861	220000
loopId2262	chr8	101647772	101652772	chr8	102197772	102202772	550000
loopId2263	chr7	121384946	121389946	chr7	121529946	121534946	145000
loopId2264	chr15	56242802	56247802	chr15	56427802	56432802	185000
loopId2265	chr15	55217802	55222802	chr15	55277802	55282802	60000
loopId2266	chr15	54577802	54587802	chr15	55277802	55287802	700000
loopId2267	chr15	54577802	54587802	chr15	55187802	55197802	610000
loopId2268	chr6	20874769	20879769	chr6	21584769	21589769	710000
loopId2269	chr1	55284327	55294327	chr1	56574327	56584327	1290000
loopId2270	chr1	55284327	55289327	chr1	55334327	55339327	50000
loopId2271	chr15	57147802	57152802	chr15	57297802	57302802	150000
loopId2272	chr6	20289769	20299769	chr6	20399769	20409769	110000
loopId2273	chr21	33202695	33207695	chr21	33262695	33267695	60000
loopId2274	chr15	58977801	58987801	chr15	59487801	59497801	510000
loopId2275	chr15	57337802	57347802	chr15	57517802	57527802	180000
loopId2276	chr6	185000	190000	chr6	290000	295000	105000
loopId2277	chr6	185000	190000	chr6	315000	320000	130000
loopId2278	chr6	18519769	18529769	chr6	18579769	18589769	60000
loopId2279	chr6	20289769	20294769	chr6	20529769	20534769	240000
loopId2280	chr13	23885861	23895861	chr13	24315862	24325862	430001
loopId2281	chr13	23575861	23580861	chr13	23750861	23755861	175000
loopId2282	chr13	24580862	24585862	chr13	24965862	24970862	385000
loopId2283	chr13	24575862	24580862	chr13	24670862	24675862	95000
loopId2284	chr2	174605272	174615272	chr2	174675272	174685272	70000
loopId2285	chr2	176825272	176835272	chr2	177145272	177155272	320000
loopId2286	chr11	57342526	57352526	chr11	57472527	57482527	130001
loopId2287	chr1	157105208	157110208	chr1	157140208	157145208	35000
loopId2288	chr1	157190210	157200210	chr1	157360210	157370210	170000
loopId2289	chr1	157180210	157185210	chr1	157490210	157495210	310000
loopId2290	chr1	156500208	156505208	chr1	156605208	156610208	105000
loopId2291	chr1	156450208	156455208	chr1	156600208	156605208	150000
loopId2292	chr1	156805208	156810208	chr1	156855208	156860208	50000
loopId2293	chr1	15338504	15343504	chr1	15408504	15413504	70000
loopId2294	chr1	24693509	24698509	chr1	24743509	24748509	50000
loopId2295	chr12	49776217	49781217	chr12	49841217	49846217	65000
loopId2296	chr12	50221217	50226217	chr12	50281217	50286217	60000
loopId2297	chr12	50086217	50091217	chr12	50166217	50171217	80000
loopId2298	chr11	57562527	57567527	chr11	57642527	57647527	80000
loopId2299	chr11	57452527	57462527	chr11	57522527	57532527	70000
loopId2300	chr1	24688509	24693509	chr1	24823509	24828509	135000
loopId2301	chr12	49636217	49646217	chr12	49696217	49706217	60000
